ID;DEPARTURE;ORIGIN;DESTINATION
120;00:01:06;R_82611989;S_543466840_T_58307472_FRef
121;00:01:07;E_82607718;S_82607707_T_58231974_toRef
122;00:01:08;E_876550037;S_1073547799
123;00:01:09;C_702719926;S_545413229_T_61615192_FRef
124;00:01:10;E_1073571631;S_1035659569
125;00:01:10;E_545413229_T_61615192_toRef;S_762997770_T_549690255_FRef
126;00:01:10;E_881234027;S_1035659569
127;00:01:11;E_82607718;S_82611819
128;00:01:11;E_876550037;S_1073547799
129;00:01:11;E_881234027;S_800028683_T_704007186_FRef
130;00:01:12;E_1073571631;S_800028683_T_704007186_FRef
131;00:01:12;E_82607284;S_543466840_T_58307472_FRef
132;00:01:12;E_82607369_T_549690291_FRef;S_82607700
133;00:01:12;E_82643134;S_545413229_T_61615192_FRef
134;00:01:12;R_82643106;R_82611815
135;00:01:13;R_82607735;S_01
136;00:01:15;E_82607284;S_82612072
137;00:01:15;E_82607718;S_82611865
138;00:01:15;R_82612082;S_800028683_T_704007186_FRef
139;00:01:16;E_545413229_T_61615192_toRef;S_82607798
140;00:01:17;E_82607284;S_545413229_T_61615192_FRef
141;00:01:18;E_545413229_T_61615192_toRef;S_1070389113_T_1085062159_toRef
142;00:01:19;E_1073571631;S_545413229_T_61615192_FRef
143;00:01:19;E_82607284;S_1073547799
144;00:01:19;R_82607931;S_82607369_T_549690291_toRef
145;00:01:19;R_82612082;S_82607720
146;00:01:20;E_545413229_T_61615192_toRef;S_762997770_T_549690255_FRef
147;00:01:20;R_82607744;S_82607720
148;00:01:21;E_1070389113_T_1085062159_FRef;S_82612072
149;00:01:21;E_876550037;S_82607369_T_549690291_toRef
150;00:01:21;E_881234027;S_82607369_T_549690291_toRef
151;00:01:22;E_82607284;S_82611857_T_62946995_toRef
152;00:01:22;C_82607731;S_01
153;00:01:23;E_01;S_82611857_T_62946995_toRef
154;00:01:23;E_82607284;S_826832662
155;00:01:24;E_545413229_T_61615192_toRef;S_762997770_T_549690255_FRef
156;00:01:24;E_762997770_T_549690255_toRef;S_800028683_T_704007186_FRef
157;00:01:24;E_82607718;S_82607720
158;00:01:24;E_82607727;S_82611865
159;00:01:25;E_762997770_T_549690255_toRef;S_82607700
160;00:01:26;E_01;S_82607700
161;00:01:26;E_881234027;S_82607798
162;00:01:27;E_82607718;S_82611819
163;00:01:28;R_82611878;S_545413229_T_61615192_FRef
164;00:01:29;E_545413229_T_61615192_toRef;S_82612072
165;00:01:29;E_881234027;S_762997770_T_549690255_FRef
166;00:01:31;E_762997770_T_549690255_toRef;S_800028683_T_704007186_FRef
167;00:01:31;E_82607718;S_1073547799
168;00:01:31;E_876550037;S_82611865
169;00:01:31;E_881234027;S_01
170;00:01:32;E_1073571631;S_545413229_T_61615192_FRef
171;00:01:32;E_545413229_T_61615192_toRef;S_82607720
172;00:01:32;E_762997770_T_549690255_toRef;S_762997770_T_549690255_FRef
173;00:01:33;E_82607284;S_1070389113_T_1085062159_toRef
174;00:01:33;E_82607718;S_826832662
175;00:01:34;E_545413229_T_61615192_toRef;S_82611819
176;00:01:34;E_876550037;S_1073547799
177;00:01:35;E_881234027;S_82607720
178;00:01:36;E_82607284;S_82607798
179;00:01:37;E_876550037;S_82607707_T_58231974_toRef
180;00:01:38;E_881234027;S_800028683_T_704007186_FRef
181;00:01:38;C_826894171;S_762997770_T_549690255_FRef
182;00:01:39;E_82607284;S_01
183;00:01:40;E_82607718;S_762997770_T_549690255_FRef
184;00:01:41;E_01;S_1070389113_T_1085062159_toRef
185;00:01:41;E_1073571631;S_82611865
186;00:01:41;E_82607284;S_82612072
187;00:01:41;E_876550037;S_01
188;00:01:43;E_82607284;S_800028683_T_704007186_FRef
189;00:01:43;E_876550037;S_1073547799
190;00:01:43;R_82607882;S_01
191;00:01:44;E_881234027;S_82607707_T_58231974_toRef
192;00:01:45;E_1073571631;S_82607700
