ID;DEPARTURE;ORIGIN;DESTINATION
624;06:35:32;843403.2241 6521692.435;845391.9498 6520958.132
634;06:35:36;843922.5508 6520210.295;844797.8247 6519622.162
635;06:35:37;845915.0395 6519559.762;846618.7059 6519592.087
642;06:35:40;844617.4845 6521137.506;843594.8923 6521145.595
643;06:35:40;845988.2228 6521156.644;848118.0358 6520129.082
648;06:35:43;843460.8173 6519941.773;847414.0832 6519746.9
651;06:35:46;844732.7948 6519423.907;845473.9658 6521175.53
656;06:35:48;845604.1213 6521488.536;843881.3213 6522293.73
661;06:35:51;843782.6886 6520704.66;844737.7268 6519596.638
667;06:35:55;843239.3966 6520073.97;844804.9608 6520341.029
674;06:36:01;845648.8001 6519770.047;846176.744 6522583.535
678;06:36:04;844998.0386 6522828.266;845919.3324 6519575.416
679;06:36:04;845032.7063 6521641.786;844679.6034 6520551.773
683;06:36:05;844440.0221 6520950.622;844168.9461 6520013.912
687;06:36:09;844682.3803 6519207.364;843300.902 6519896.785
705;06:36:18;844989.8124 6520578.667;847059.5402 6522204.423
709;06:36:21;845949.6485 6521961.071;843636.4304 6520842.307
711;06:36:22;844790.2122 6522875.565;844287.6339 6520785.386
715;06:36:25;844631.6644 6519381.639;845547.3748 6521597.788
725;06:36:30;845648.8001 6519770.047;843428.0247 6519676.641
726;06:36:30;844679.346 6520854.595;845973.144 6520450.913
731;06:36:33;845775.3136 6520793.564;844676.6215 6519849.242
744;06:36:38;843561.6331 6519819.72;846355.2836 6519520.26
752;06:36:41;843460.8173 6519941.773;848265.2226 6518670.781
758;06:36:45;845090.7396 6522982.972;844061.4482 6520751.189
765;06:36:49;845251.509 6521345.768;846179.2721 6519728.231
772;06:36:52;843972.512 6520400.306;844584.6527 6521683.912
776;06:36:55;848351.6877 6520065.416;845114.6856 6522141.652
785;06:37:01;846170.8436 6519788.559;846925.6395 6519507.901
786;06:37:02;848313.2949 6519738.342;843505.6086 6520190.183
789;06:37:03;845923.7177 6520007.534;843730.4245 6522187.217
796;06:37:07;845213.8066 6519750.798;846480.6643 6520516.482
799;06:37:08;846741.1701 6521520.423;846136.8137 6520104.022
807;06:37:12;844010.222 6522657.229;844790.2122 6522875.565
822;06:37:20;844266.0467 6520447.191;843761.1144 6520837.61
827;06:37:23;843293.1979 6520457.884;844517.267 6520112.083
830;06:37:23;845526.9248 6521367.847;843971.5239 6519422.175
833;06:37:25;843527.1313 6521849.284;848290.5336 6519384.071
848;06:37:32;844698.267 6520246.943;844406.4393 6522407.188
849;06:37:33;846019.6187 6520262.068;843193.7506 6519891.115
851;06:37:34;845992.5042 6519621.02;846506.9502 6522773.04
865;06:37:41;845235.0689 6520365.636;843467.2071 6519902.976
886;06:37:52;847215.8031 6522250.153;843520.4183 6520717.403
887;06:37:53;843288.1296 6519969.483;843786.8445 6520593.676
889;06:37:53;843983.5553 6520327.251;843482.9153 6520326.631
890;06:37:55;845109.0063 6520633.693;843997.4622 6519204.545
893;06:37:56;845290.4069 6521048.989;843776.4001 6520757.763
894;06:37:56;843412.4452 6522210.029;845170.2212 6520116.389
896;06:37:56;846319.5192 6520542.37;845645.0623 6519627.934
898;06:37:57;845744.9187 6520633.216;844678.8083 6520553.847
900;06:37:59;845690.4015 6521471.645;844720.6821 6522350.09
902;06:37:59;845645.0623 6519627.934;846561.4359 6519776.227
903;06:38:00;843941.3852 6520566.797;843098.9685 6520863.091
912;06:38:04;845349.395 6523142.706;846017.8679 6519518.886
916;06:38:06;843234.1258 6519893.665;844207.3717 6520912.17
918;06:38:07;843926.0622 6520690.249;843143.8085 6519886.858
919;06:38:07;844686.7376 6520332.873;844115.657 6519318.037
920;06:38:07;847062.7262 6522192.95;844439.8709 6519767.018
925;06:38:09;846926.9028 6520261.512;843581.6513 6519697.753
940;06:38:16;843505.6086 6520190.183;845341.1697 6522154.346
951;06:38:25;846992.8068 6519162.455;848046.8144 6519667.317
952;06:38:25;846246.4396 6521900.38;845549.8434 6521603.257
961;06:38:29;846521.5164 6519661.376;846763.8983 6521793.523
966;06:38:33;844531.2521 6522842.237;844371.5015 6519794.947
971;06:38:34;846019.3646 6521620.676;846595.1834 6520609.041
974;06:38:37;847240.6896 6519788.046;846173.597 6519574.803
978;06:38:40;846646.6257 6520093.817;845681.1935 6521897.872
980;06:38:41;846436.285 6519590.165;843656.9246 6519834.17
986;06:38:44;845323.2141 6520123.343;844511.048 6522274.144
1005;06:39:01;845746.0519 6519734.588;844089.1355 6520585.016
1006;06:39:01;844685.6093 6522632.049;847667.4793 6519402.847
1009;06:39:03;846543.0502 6521246.164;845959.3605 6522574.274
1013;06:39:06;847941.6686 6518705.184;845914.7632 6522087.986
1017;06:39:08;843639.0731 6520829.039;843216.1303 6519766.103
1022;06:39:09;843827.2819 6520239.976;844728.1332 6522773.015
1035;06:39:16;844514.4316 6520166.446;844447.857 6520814.705
1039;06:39:19;843428.0686 6520145.397;844485.0467 6521600.265
1044;06:39:24;847565.6995 6519334.859;845187.0053 6519785.008
1055;06:39:29;847274.6899 6519570.029;846131.7664 6520155.877
1057;06:39:31;843980.7757 6519915.175;843467.2071 6519902.976
1058;06:39:32;846964.7699 6519825.525;846136.8137 6520104.022
1060;06:39:34;844783.4909 6520671.412;844701.7644 6521604.716
1066;06:39:37;843847.866 6520113.014;845045.1179 6521634.607
