idstation;nom;adresse1;adresse2;commune;numdansarrondissement;nbbornettes;stationbonus;pole;ouverte;achevement;validite;gid;code_insee;lon;lat
3007;Place d'Arsonval;1, Place d'Arsonval;;Lyon 3e Arrondissement;7;32;;Hôpital Edouard Herriot - Métro D - Tram T2 - Fac Médecine;True;Monté;Validé;208;69383;4,878920616442839;45,74341567680107
5015;Fulchiron;41, Quai Fulchiron;;Lyon 5e Arrondissement;15;19;;Maillage;True;Monté;Validé;172;69385;4,821661798351627;45,75200117696068
9033;Gorge de Loup;49 bis, Rue Sergent Michel Bethet;Esplanade Lina Crétet;Lyon 9e Arrondissement;33;40;;Lycée professionnel - Métro D;True;Monté;Validé;178;69389;4,805627699519279;45,76736547853642
7014;Marseille / Félissent;3, Rue Félissent;Angle Rue de Marseille;Lyon 7e Arrondissement;14;30;;Maillage;True;Monté;Validé;154;69387;4,841415287461779;45,75298634352899
10113;Gare de Villeurbanne;Face 2, Avenue Paul Krüger;;Villeurbanne;113;22;;Tram T3 - Maillage;True;Monté;Validé;224;69266;4,891530167671847;45,755764271974854
16005;Vénissieux - Gare;122b, Avenue Jules Guesde;;Vénissieux;;25;;Gare de Vénissieux;True;Monté;Validé;214;69259;4,88702481170959;45,708533972113074
9042;Vaise Docks;Face 50, Rue des Docks;Angle Rue Antoine Laborde;Lyon 9e Arrondissement;42;19;;Complexe cinéma Pathé;True;Monté;Validé;158;69389;4,811476181120188;45,786557895292454
1031;Place de la Paix;Place de la Paix;;Lyon 1er Arrondissement;31;20;;Lycée - Place des Terreaux - Pentes;True;Monté;Validé;165;69381;4,831741251718418;45,768023612672
3006;Villette / Saint-Antoine;Face 1, Rue Saint Antoine;Angle Rue de la Villette;Lyon 3e Arrondissement;;23;;Commerces - Centre ville;True;Monté;Validé;171;69383;4,862286900087199;45,7628598509097
3138;Vivier Merle / Paul Bert Ouest;Face 65, Boulevard Marius Vivier-Merle;Angle Rue Paul Bert;Lyon 3e Arrondissement;138;19;;CAFAL;True;Monté;Validé;173;69383;4,858542068030176;45,75733736594054
2028;Sainte-Blandine;60, Cours Charlemagne;;Lyon 2e Arrondissement;28;16;;Tram T1, T2;True;Monté;Validé;153;69382;4,822142870439611;45,74442230143973
7024;Bancel / Chevreul;Face 10, Rue Bancel;Angle Rue Chevreul;Lyon 7e Arrondissement;24;21;;Itinéraire cyclable;True;Monté;Validé;176;69387;4,840524571672516;45,74852028674798
2017;République / Ferrandière;Face 30, Rue Ferrandière;Angle Rue de la République;Lyon 2e Arrondissement;17;25;;Métro A - Commerces;True;Monté;Validé;187;69382;4,835970693686822;45,76217399703886
7022;Jaurès / Lagrange;Avenue Jean Jaurès;Angle Rue de Gerland;Lyon 7e Arrondissement;22;30;;Gare SNCF - Piste cyclable - Commerces;True;Monté;Validé;177;69387;4,841424444852924;45,74391432692689
10055;Condorcet / Galline;Face 16, Avenue Galline;Angle avenue de Condorcet;Villeurbanne;55;15;;Maillage - Habitat dense;True;Monté;Validé;205;69266;4,86708711115082;45,77639544847652
10005;11 Novembre;1, Boulevard du 11 Novembre 1918;Face à l'entrée parc;Villeurbanne;5;35;;Parc Tête d'Or - Itinéraire cyclable;True;Monté;Validé;191;69266;4,860008593899982;45,779693707850846
8025;Dumont / Jouvet;16, Rue Santos Dumont;Angle Rue Saint Nestor;Lyon 8e Arrondissement;25;17;;Maillage - Lycée Colbert;True;Monté;Validé;183;69388;4,860887175144378;45,74444617982907
1016;Pêcherie;6, Rue de la Platière;Angle Quai de la Pêcherie;Lyon 1er Arrondissement;16;17;;Marché des bouquinistes;True;Monté;Validé;188;69381;4,831178124644486;45,765954730052314
6008;Place Jules Ferry;17, Place Jules Ferry;Angle Rue des Emeraudes;Lyon 6e Arrondissement;8;20;;Métro B - Parking - Place - Restaurants;True;Monté;Validé;196;69386;4,859070556738344;45,7684122613938
10111;Charles Hernu;110, Cours Vitton;;Lyon 6e Arrondissement;46;20;;Métro A, B - Tram T1;True;Monté;Validé;164;69386;4,862002498921168;45,77031052814655
7005;Debourg;259t, Avenue Jean Jaurès;;Lyon 7e Arrondissement;5;20;;Métro B - Tram T6 - ENS - Bibliothèque;True;Monté;Validé;169;69387;4,833961794123208;45,731753554835215
6021;Garibaldi;46, Rue Garibaldi;Angle Rue Crillon;Lyon 6e Arrondissement;21;11;;Commerces;True;Monté;Validé;211;69386;4,849935729364381;45,7706974838637
8030;Laënnec;Rue Nungesser et Coli;Angle 25, Rue Laënnec;Lyon 8e Arrondissement;30;16;;Fac - Tram T2;True;Monté;Validé;202;69388;4,879723163759173;45,74134872300852
10008;Salengro / Vaillant;108, Avenue Roger Salengro;;Villeurbanne;8;24;;Centre quartier - Itinéraire cyclable;True;Monté;Validé;242;69266;4,879673281300416;45,77836820802221
8001;Université Lyon III;1, Rue Professeur Rollet;;Lyon 8e Arrondissement;1;36;;Université Lyon 3;True;Monté;Validé;175;69388;4,861541779364256;45,74853956627726
3038;Vivier Merle / Paul Bert Est;65, Boulevard Marius Vivier-Merle;Angle Rue Paul Bert;Lyon 3e Arrondissement;38;20;;CAFAL;True;Monté;Validé;193;69383;4,858906840163633;45,75735141105627
7053;Jaurès / Thibaudière;Face 27, Rue de la Thibaudière;Angle Avenue Jean Jaurès;Lyon 7e Arrondissement;53;28;;Maillage;True;Monté;Validé;206;69387;4,845048253499639;45,750344797591346
5040;Place Crépu;Face 13, Place Benoit Crépu;;Lyon 5e Arrondissement;40;20;;Vieux Lyon - Parking;True;Monté;Validé;190;69385;4,826105451692288;45,75784167965563
3008;Institut Lumière;Cours Albert Thomas;Face Institut Lumière;Lyon 3e Arrondissement;8;18;;Métro D - Collège - Institut Lumière - Marché - Commerces;True;Monté;Validé;198;69383;4,870638710650287;45,74583323374609
7015;Techsud;Face 2, Rue Professeur Jean Bernard;Angle Boulevard Chambaud de la Bruyère;Lyon 7e Arrondissement;66;12;;Entreprises;True;Monté;Validé;212;69387;4,8426881110123965;45,72279362231216
5036;La Salette;104, Rue Commandant Charcot;;Lyon 5e Arrondissement;32;15;;Habitations - Commerces;True;Monté;Validé;213;69385;4,795531093165858;45,7496172708063
3066;Kimmerling / Faure;139, Avenue Félix Faure;;Lyon 3e Arrondissement;66;19;;Bureaux - Habitat - Collège;True;Monté;Validé;199;69383;4,863464101960399;45,75430081007711
2013;Célestins;Face 2, Place des Célestins;Côté Nord de la place;Lyon 2e Arrondissement;13;22;;Théâtre des Célestins - Commerces - Centre ville;True;Monté;En projet ou en cours de validation;184;69382;4,832071611386379;45,7599398326071
